respondent_id,age_group,region,gender,income_band,likelihood_ev_next_vehicle
1,65+,South East,Male,£40k-£60k,Neutral
2,25-34,Northern Ireland,Male,£80k+,Very likely
3,45-54,London,Male,£20k-£40k,Somewhat likely
4,55-64,London,Female,£80k+,Neutral
5,45-54,Scotland,Male,Under £20k,Very unlikely
6,25-34,Northern Ireland,Male,£40k-£60k,Very likely
7,35-44,South East,Male,Under £20k,Somewhat likely
8,35-44,Scotland,Male,Under £20k,Somewhat unlikely
9,55-64,South East,Other,£60k-£80k,Very likely
10,35-44,Wales,Female,£40k-£60k,Neutral
11,65+,South East,Male,£20k-£40k,Very unlikely
12,18-24,North West,Female,£60k-£80k,Somewhat likely
13,65+,Yorkshire,Male,£40k-£60k,Neutral
14,35-44,Northern Ireland,Female,Under £20k,Neutral
15,25-34,East of England,Female,£20k-£40k,Somewhat likely
16,35-44,Wales,Female,£20k-£40k,Somewhat unlikely
17,18-24,North West,Female,£40k-£60k,Neutral
18,18-24,North West,Female,£80k+,Very unlikely
19,35-44,North West,Female,£60k-£80k,Very unlikely
20,65+,East Midlands,Male,£20k-£40k,Neutral
21,55-64,East of England,Male,£80k+,Somewhat unlikely
22,55-64,West Midlands,Male,£20k-£40k,Somewhat unlikely
23,18-24,London,Female,£20k-£40k,Somewhat unlikely
24,65+,West Midlands,Female,£60k-£80k,Somewhat unlikely
25,45-54,East of England,Male,£80k+,Very unlikely
26,18-24,Wales,Female,£80k+,Somewhat unlikely
27,65+,Yorkshire,Male,£60k-£80k,Neutral
28,18-24,Northern Ireland,Female,£40k-£60k,Very unlikely
29,25-34,East of England,Female,£40k-£60k,Somewhat unlikely
30,55-64,Scotland,Male,£40k-£60k,Very unlikely
31,55-64,East of England,Female,£80k+,Neutral
32,18-24,South East,Female,£40k-£60k,Somewhat likely
33,25-34,Scotland,Female,Under £20k,Somewhat unlikely
34,18-24,East of England,Female,£20k-£40k,Somewhat unlikely
35,55-64,South West,Male,£80k+,Somewhat unlikely
